embed_dim,hidden_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
256,256,2,0.2,0.0005,32,False,6,2,roc_auc,0.6056338028169014,0.5306122448979592,0.8387096774193549,0.65,0.6887096774193548,0.25,0.5816326530612245,0.547945205479452,0.8333333333333334,0.6611570247933884,0.6283333333333333
128,256,1,0.5,0.001,32,False,6,2,roc_auc,0.6197183098591549,0.5416666666666666,0.8387096774193549,0.6582278481012658,0.6685483870967742,0.35,0.673469387755102,0.6142857142857143,0.8958333333333334,0.7288135593220338,0.67875
64,64,1,0.2,0.0003,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6669354838709678,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5991666666666666
256,256,2,0.5,0.0005,16,True,6,2,roc_auc,0.6901408450704225,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.660483870967742,0.5750000000000001,0.6122448979591837,0.5925925925925926,0.6666666666666666,0.6274509803921569,0.6525
256,128,1,0.2,0.0003,16,False,6,2,roc_auc,0.5633802816901409,0.5,0.8387096774193549,0.6265060240963856,0.6572580645161291,0.475,0.5612244897959183,0.5333333333333333,0.8333333333333334,0.6504065040650406,0.6020833333333333
64,256,2,0.5,0.0005,16,True,6,2,roc_auc,0.4788732394366197,0.45454545454545453,0.967741935483871,0.6185567010309279,0.6540322580645161,0.15000000000000002,0.5,0.4948453608247423,1.0,0.6620689655172414,0.53625
256,128,1,0.5,0.001,16,False,6,2,roc_auc,0.5774647887323944,0.5087719298245614,0.9354838709677419,0.6590909090909091,0.6459677419354839,0.42500000000000004,0.5408163265306123,0.5185185185185185,0.875,0.6511627906976745,0.5775
256,256,2,0.5,0.0005,32,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6451612903225806,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6691666666666667
256,64,2,0.2,0.0005,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6387096774193549,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6695833333333333
128,256,2,0.5,0.0005,32,False,6,2,roc_auc,0.647887323943662,0.5555555555555556,0.967741935483871,0.7058823529411765,0.6387096774193548,0.4,0.6122448979591837,0.5675675675675675,0.875,0.6885245901639344,0.7100000000000001
64,128,2,0.2,0.0005,32,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6387096774193548,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5183333333333333
128,256,2,0.2,0.0005,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6379032258064515,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.4608333333333334
64,256,1,0.2,0.0005,32,True,6,2,roc_auc,0.6056338028169014,0.5319148936170213,0.8064516129032258,0.6410256410256411,0.635483870967742,0.5,0.5816326530612245,0.5636363636363636,0.6458333333333334,0.6019417475728155,0.605
256,256,2,0.2,0.0005,16,False,6,2,roc_auc,0.4788732394366197,0.453125,0.9354838709677419,0.6105263157894737,0.635483870967742,0.45000000000000007,0.5408163265306123,0.5164835164835165,0.9791666666666666,0.6762589928057554,0.62625
128,64,2,0.5,0.0005,32,False,6,2,roc_auc,0.6056338028169014,0.5294117647058824,0.8709677419354839,0.6585365853658537,0.6314516129032258,0.5,0.5204081632653061,0.5068493150684932,0.7708333333333334,0.6115702479338843,0.5599999999999999
256,128,2,0.2,0.001,32,True,6,2,roc_auc,0.5211267605633803,0.47619047619047616,0.967741935483871,0.6382978723404256,0.6290322580645161,0.15000000000000002,0.5408163265306123,0.5164835164835165,0.9791666666666666,0.6762589928057554,0.665
128,64,2,0.2,0.001,16,True,6,2,roc_auc,0.4788732394366197,0.45454545454545453,0.967741935483871,0.6185567010309279,0.6290322580645161,0.2,0.5612244897959183,0.5294117647058824,0.9375,0.6766917293233082,0.67
64,128,1,0.5,0.0005,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.629032258064516,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5658333333333333
256,256,2,0.5,0.0005,16,False,6,2,roc_auc,0.6338028169014085,0.5862068965517241,0.5483870967741935,0.5666666666666667,0.628225806451613,0.17500000000000002,0.6020408163265306,0.5957446808510638,0.5833333333333334,0.5894736842105263,0.6425
256,256,2,0.5,0.001,32,False,6,2,roc_auc,0.5915492957746479,0.5227272727272727,0.7419354838709677,0.6133333333333333,0.6266129032258065,0.475,0.6530612244897959,0.6,0.875,0.711864406779661,0.6991666666666667
128,256,2,0.2,0.0003,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6258064516129033,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.7158333333333334
128,128,2,0.5,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6258064516129033,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.46749999999999997
64,128,2,0.5,0.001,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6258064516129032,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.66125
64,128,2,0.5,0.001,16,False,6,2,roc_auc,0.49295774647887325,0.46153846153846156,0.967741935483871,0.625,0.6241935483870967,0.1,0.47959183673469385,0.4838709677419355,0.9375,0.6382978723404256,0.57375
256,256,1,0.5,0.001,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6241935483870967,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5108333333333333
128,256,1,0.2,0.001,16,False,6,2,roc_auc,0.647887323943662,0.5789473684210527,0.7096774193548387,0.6376811594202898,0.6233870967741935,0.45000000000000007,0.5612244897959183,0.5396825396825397,0.7083333333333334,0.6126126126126126,0.6029166666666668
256,256,1,0.2,0.001,16,True,6,2,roc_auc,0.4788732394366197,0.45588235294117646,1.0,0.6262626262626263,0.6225806451612904,0.1,0.5,0.49473684210526314,0.9791666666666666,0.6573426573426573,0.665
128,64,2,0.2,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6225806451612903,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.49874999999999997
64,128,1,0.2,0.001,16,True,6,2,roc_auc,0.5352112676056338,0.48148148148148145,0.8387096774193549,0.611764705882353,0.6217741935483871,0.55,0.6530612244897959,0.5945945945945946,0.9166666666666666,0.7213114754098361,0.6879166666666666
128,128,2,0.5,0.0005,32,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6217741935483871,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5358333333333334
128,256,2,0.2,0.0005,16,False,6,2,roc_auc,0.5492957746478874,0.4915254237288136,0.9354838709677419,0.6444444444444445,0.621774193548387,0.4,0.5612244897959183,0.5301204819277109,0.9166666666666666,0.6717557251908397,0.6366666666666666
64,64,1,0.2,0.001,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6201612903225807,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.4404166666666667
128,128,2,0.2,0.0005,32,True,6,2,roc_auc,0.4647887323943662,0.44776119402985076,0.967741935483871,0.6122448979591837,0.6193548387096774,0.5,0.5204081632653061,0.5054945054945055,0.9583333333333334,0.6618705035971223,0.5625
64,256,2,0.2,0.001,32,False,6,2,roc_auc,0.6197183098591549,1.0,0.12903225806451613,0.22857142857142856,0.6185483870967742,0.1,0.5510204081632653,0.75,0.125,0.21428571428571427,0.5991666666666667
64,128,1,0.5,0.001,16,False,6,2,roc_auc,0.4788732394366197,0.45588235294117646,1.0,0.6262626262626263,0.6177419354838709,0.15000000000000002,0.5306122448979592,0.5106382978723404,1.0,0.676056338028169,0.6345833333333333
256,64,1,0.2,0.001,32,True,6,2,roc_auc,0.5352112676056338,0.48333333333333334,0.9354838709677419,0.6373626373626373,0.6177419354838709,0.475,0.45918367346938777,0.47191011235955055,0.875,0.6131386861313869,0.5133333333333333
64,256,2,0.5,0.0005,16,False,6,2,roc_auc,0.4507042253521127,0.44285714285714284,1.0,0.6138613861386139,0.6169354838709679,0.275,0.5,0.4948453608247423,1.0,0.6620689655172414,0.7
