date,ticker,open,high,low,close,volume,ret_fwd_1d,y_up_1d
2025-10-01,ADI,242.85228298043415,244.72565608615832,235.3886381425491,238.4378662109375,4916300,0.009988247990690535,1
2025-10-02,ADI,241.27783047333196,243.11135096039425,239.59377598056273,240.81944274902344,2774100,0.0013241379939594733,1
2025-10-03,ADI,241.19810731985288,245.33349530002545,240.7397196010332,241.13832092285156,2118500,0.0021075423705807506,1
2025-10-06,ADI,244.14769082466984,244.14769082466984,238.07912800534697,241.6465301513672,4021200,-0.036082486920917756,0
2025-10-07,ADI,242.53339402683895,242.53339402683895,232.20985519430815,232.9273223876953,3397800,0.017882329820424037,1
2025-10-08,ADI,232.97715133467247,238.5175806576873,232.97715133467247,237.0926055908203,4017900,-0.00021012863798475223,0
2025-10-09,ADI,236.0064374121363,237.55098522449745,234.2725710774954,237.04278564453125,3069200,-0.052799720576387155,0
2025-10-10,ADI,236.90327874131637,238.1986912228595,223.91913908670725,224.52699279785156,4425100,0.041496538030490804,1
2025-10-13,ADI,227.5164434091622,234.99004743347197,226.16122927121725,233.84408569335935,4609900,0.00311069228041716,1
2025-10-14,ADI,230.3364605773811,237.93961162778612,228.32358092304403,234.57150268554688,3431200,0.011682262748718975,1
2025-10-15,ADI,237.35169634873745,237.959550071214,234.1330685420596,237.31182861328125,2773700,0.014528690880444284,1
2025-10-16,ADI,239.48416496551215,243.37043290773403,237.6805376588634,240.75965881347656,2898700,0.005214969174679895,1
2025-10-17,ADI,240.9190935909855,242.68285311989413,237.75027770948583,242.0152130126953,2401200,0.013793456522025682,1
2025-10-20,ADI,242.01522344606315,245.97125239910864,242.01522344606315,245.3534393310547,2759700,0.0006091613766436854,1
2025-10-21,ADI,246.9677267407236,247.95424792261636,244.74557945372555,245.50289916992188,2361300,-0.024394195935951934,0
2025-10-22,ADI,239.69341253610307,240.7895471670231,236.0761986642385,239.51405334472656,5270800,0.012190069653081448,1
2025-10-23,ADI,236.46483757418733,244.08790770023847,236.42496983733585,242.43374633789065,2774900,-0.021702543117387396,0
2025-10-24,ADI,244.5861348318675,244.64592122884548,235.79718475913197,237.1723175048828,3489000,0.02100753860580018,1
2025-10-27,ADI,238.85637605409596,243.25085876802015,237.51113648387096,242.15472412109375,3506200,-0.01506107303332127,0
2025-10-28,ADI,240.6600004632946,242.82236132711776,237.99939934868033,238.5076141357422,2421000,-0.018007163404898052,0
2025-10-29,ADI,238.91615770147237,241.0585998860307,233.69460964561264,234.2127685546875,3438500,-0.009104804836264413,0
